,Year_stats,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
0,1978,Zaid Abdul-Aziz,PF-C,31,TOT,16,0,158,6.8,17.9,0.383,0,0,0,6.8,17.9,0.383,5.1,6.8,0.739,5.7,9.2,14.9,3,0.9,0.9,4.2,8.6,18.8,,93,104
1,1978,Zaid Abdul-Aziz,C,31,BOS,2,0,24,5.7,24.5,0.231,0,0,0,5.7,24.5,0.231,3.8,5.7,0.667,11.3,17,28.3,5.7,1.9,1.9,5.7,7.6,15.1,,74,92
2,1978,Zaid Abdul-Aziz,PF,31,HOU,14,0,134,7.1,16.6,0.426,0,0,0,7.1,16.6,0.426,5.3,7.1,0.75,4.6,7.8,12.4,2.5,0.7,0.7,3.9,8.8,19.4,,99,107
3,1978,Kareem Abdul-Jabbar*,C,30,LAL,62,0,2265,13.2,24.1,0.55,0,0,0,13.2,24.1,0.55,5.5,7,0.783,3.7,12.3,16,5.4,2.1,3.7,4.2,3.6,32,,113,94
4,1978,Tom Abernethy,SF,23,LAL,73,0,1317,6.9,13.9,0.498,0,0,0,6.9,13.9,0.498,3.1,3.8,0.82,3.6,5.5,9.1,3.5,1.9,0.8,1.7,4.2,16.9,,115,101
5,1978,Alvan Adams,C,23,PHO,70,0,1914,9.8,20.1,0.485,0,0,0,9.8,20.1,0.485,4.8,6.6,0.73,3.6,9.2,12.7,5.1,1.9,1.4,5.3,5.4,24.4,,98,95
6,1978,Lucius Allen,PG,30,KCK,77,0,2147,7.7,17.5,0.441,0,0,0,7.7,17.5,0.441,3.6,4.5,0.791,1.4,3.4,4.7,7.4,1.9,0.6,4.5,3.7,19,,95,104
7,1978,Jim Ard,C,29,TOT,15,0,125,3,6.4,0.471,0,0,0,3,6.4,0.471,1.1,1.9,0.6,3.4,10.2,13.6,3,0,0,5.3,7.2,7.2,,74,104
8,1978,Jim Ard,C,29,BOS,1,0,9,0,5,0,0,0,0,0,5,0,5,10.1,0.5,5,15.1,20.1,5,0,0,0,5,5,,99,99
9,1978,Jim Ard,C,29,CHI,14,0,116,3.3,6.5,0.5,0,0,0,3.3,6.5,0.5,0.8,1.2,0.667,3.3,9.8,13,2.9,0,0,5.7,7.3,7.3,,72,104
10,1978,Tate Armstrong,SG,22,CHI,66,0,716,8.7,18.5,0.468,0,0,0,8.7,18.5,0.468,1.5,1.8,0.815,1.6,2.9,4.5,4.9,1.5,0,3.8,2.8,18.8,,94,106
11,1978,Bird Averitt,SG,25,TOT,55,0,1085,8.2,20,0.409,0,0,0,8.2,20,0.409,4.1,5.8,0.709,0.7,2.7,3.4,8.1,1.6,0.4,5.9,5.1,20.5,,86,105
12,1978,Bird Averitt,SG,25,NJN,21,0,409,7.3,19.9,0.367,0,0,0,7.3,19.9,0.367,3.8,4.8,0.8,0.7,2.8,3.5,7.2,1.8,0.1,5.8,3.9,18.4,,80,104
13,1978,Bird Averitt,SG,25,BUF,34,0,676,8.8,20.1,0.436,0,0,0,8.8,20.1,0.436,4.4,6.5,0.667,0.7,2.7,3.4,8.7,1.5,0.5,6,5.9,21.9,,89,106
14,1978,Dennis Awtrey,C,29,PHO,81,0,1623,3,7,0.424,0,0,0,3,7,0.424,1.8,2.9,0.633,2.6,5.4,8,4.3,0.5,0.7,3.4,4.1,7.8,,88,101
15,1978,Gus Bailey,SG,26,NOJ,48,0,449,5.8,13.7,0.424,0,0,0,5.8,13.7,0.424,3.7,6.6,0.552,4.3,3.8,8.1,3.9,1.8,1.5,3.3,4.5,15.3,,95,102
16,1978,Greg Ballard,SF,23,WSB,76,0,936,6.7,15.8,0.425,0,0,0,6.7,15.8,0.425,4.2,5.4,0.772,4.8,7.8,12.6,2.9,1.4,0.6,3,4.3,17.7,,102,100
17,1978,Mike Bantom,SF,26,IND,82,0,2775,8,16.7,0.479,0,0,0,8,16.7,0.479,4.1,5.5,0.743,2.9,6.8,9.8,3.8,1.6,0.8,3.5,5.3,20.1,,103,102
